idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1656396,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,388.592,siderca\17480,"GA15,GFC",2025-04-02 08:10:06.7526102 -03:00,1656373,2025-04-02 06:56:29.5375462 -03:00,11,0
1656416,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,940,siderca\17480,"CPT,CPA,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-02 09:28:29.7243066 -03:00,1656396,2025-04-02 08:16:35.3443265 -03:00,11,0
1656446,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,640.741,siderca\17480,"GA15,GFC",2025-04-02 11:34:47.7853954 -03:00,1656416,2025-04-02 09:44:09.7243066 -03:00,11,0
1656658,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,755,siderca\12985,"CPA,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-03 05:57:45.8820828 -03:00,1656446,2025-04-02 11:45:28.5260522 -03:00,12,0
1656708,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,494.113,siderca\12985,"CPT,CSR,GSR,CA15,GA15,CDS,GDS,CDT",2025-04-03 07:49:13.7415128 -03:00,1656658,2025-04-03 06:10:20.8820828 -03:00,11,0
1656745,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,704.285,siderca\12985,"CPA,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-03 09:16:13.3369595 -03:00,1656708,2025-04-03 07:57:27.8546903 -03:00,11,0
1656786,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,300.967,siderca\12985,"CA15,GA15,CDT",2025-04-03 10:43:25.7417136 -03:00,1656745,2025-04-03 09:27:57.6218118 -03:00,11,0
1656816,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,713.053,siderca\12985,"CPT,CPA,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-03 12:08:32.5276952 -03:00,1656786,2025-04-03 10:48:26.7087689 -03:00,11,0
1656865,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,229.704,siderca\60062257,"CFC,CDT",2025-04-03 13:39:51.1379114 -03:00,1656816,2025-04-03 12:20:25.5808468 -03:00,11,0
1656900,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,576.803,siderca\60062257,"CPA,CA15,CFC,CDS,CDT",2025-04-03 14:50:34.8887181 -03:00,1656865,2025-04-03 13:43:40.8418131 -03:00,10,0
1656933,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,542.627,siderca\60062257,"CPT,CFC,CDT",2025-04-03 16:06:57.4085275 -03:00,1656900,2025-04-03 15:00:11.6911986 -03:00,10,0
1656988,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1011.097,siderca\60062257,"CPT,CPA,GSR,GA15,GFC,GDS,CDT",2025-04-03 18:05:26.2028261 -03:00,1656933,2025-04-03 16:16:00.0355249 -03:00,14,4
1657050,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,398.441,siderca\60062257,"CFC,CDT",2025-04-03 19:50:12.2718646 -03:00,1656988,2025-04-03 18:22:17.2995007 -03:00,12,0
